"DATE","NYSE ADV.","NYSE DEC.","NYSE UP VOL (x 1000)","NYSE DN VOL (x 1000)","DJIA CLOSE","NYSE A-D","10% TREND A-D","5% TREND A-D","McC A-D OSC","McC A-D SUMMATION INDEX","A-D FOR OSC UNCH'D TOMORROW","A-D FOR OSC TO 0 TOMORROW","NYSE UV-DV (x 1000)","10% TREND UV-DV","5% TREND UV-DV","McC UV-DV OSC","McC VOL SUMMATION INDEX","UV-DV FOR OSC UNCH'D TOMORROW","UV-DV FOR OSC TO 0 TOMORROW","10% TREND","5% TREND","PRICE OSCILLATOR","PRICE FOR UNCHANGED OSCILLATOR"
12-Oct-12,1096,1877,647796,2403181,13328.85,-781,-58.63,60.57,-119.21,2678.60,-178,2206,-1755385,-167449,8620,-176069,1670823,-343518,3177865,13439.85,13357.76,82.09,13521.94
15-Oct-12,2030,1007,2180710,1241580,13424.23,1023,49.53,108.69,-59.17,2619.43,-10,1174,939130,-56791,55146,-111937,1558887,-168728,2070007,13438.29,13361.09,77.20,13515.49
16-Oct-12,2273,760,2620337,674413,13551.78,1513,195.88,178.91,16.97,2636.40,213,-126,1945924,143480,149685,-6204,1552683,137276,261359,13449.64,13370.62,79.02,13528.66
17-Oct-12,2067,934,2617929,969277,13557.00,1133,289.59,226.61,62.97,2699.37,353,-907,1648652,293998,224633,69365,1622047,363362,-1023931,13460.37,13379.94,80.43,13540.81
18-Oct-12,1482,1545,2172991,1612020,13548.94,-63,254.33,212.13,42.20,2741.57,297,-547,560971,320695,241450,79245,1701292,399940,-1184962,13469.23,13388.39,80.84,13550.07
19-Oct-12,693,2358,405434,3414170,13343.51,-1665,62.40,118.28,-55.88,2685.69,7,1124,-3008736,-12248,78941,-91189,1610104,-103437,1720337,13456.66,13386.15,70.51,13527.17
22-Oct-12,1448,1549,1540353,1546775,13345.89,-101,46.06,107.31,-61.26,2624.43,-15,1210,-6422,-11666,74672,-86338,1523766,-98004,1628756,13445.58,13384.13,61.45,13507.03
23-Oct-12,825,2222,415263,3120900,13102.53,-1397,-98.25,32.10,-130.35,2494.09,-229,2378,-2705637,-281063,-64343,-216720,1307046,-497782,3836611,13411.28,13370.05,41.22,13452.50
24-Oct-12,1323,1665,1098181,2202961,13077.34,-342,-122.62,13.39,-136.02,2358.07,-259,2462,-1104780,-363434,-116365,-247070,1059976,-610504,4330887,13377.88,13355.42,22.47,13400.35
25-Oct-12,1796,1217,1830418,1516751,13103.68,579,-52.46,41.67,-94.13,2263.94,-147,1736,313667,-295724,-94863,-200861,859115,-496585,3520634,13350.46,13342.83,7.63,13358.10
26-Oct-12,1229,1754,904735,2324611,13107.21,-525,-99.72,13.34,-113.05,2150.88,-213,2048,-1419876,-408139,-161114,-247026,612090,-655165,4285345,13326.14,13331.05,-4.91,13321.23
29-Oct-12,"Hurricane Sandy",,,,13107.21,,-99.72,13.34,-113.05,2150.88,-213,2048,,-408139,-161114,-247026,612090,-655165,4285345,13326.14,13331.05,-4.91,13321.23
30-Oct-12,"Hurricane Sandy",,,,13107.21,,-99.72,13.34,-113.05,2150.88,-213,2048,,-408139,-161114,-247026,612090,-655165,4285345,13326.14,13331.05,-4.91,13321.23
31-Oct-12,1764,1284,1998850,1489990,13096.46,480,-41.74,36.67,-78.42,2072.47,-120,1448,508860,-316440,-127615,-188824,423266,-505264,3271222,13303.17,13319.32,-16.15,13287.02
1-Nov-12,2332,697,3061063,766926,13232.62,1635,125.93,116.59,9.34,2081.81,135,-52,2294137,-55382,-6528,-48854,374411,-104236,872848,13296.11,13314.98,-18.87,13277.24
2-Nov-12,908,2100,918594,2561967,13093.16,-1192,-5.86,51.16,-57.02,2024.79,-63,1078,-1643373,-214181,-88370,-125811,248600,-339992,2176229,13275.82,13303.89,-28.07,13247.74
5-Nov-12,1541,1468,1523833,1339482,13112.44,73,2.02,52.25,-50.23,1974.56,-48,956,184351,-174328,-74734,-99594,149006,-273922,1717957,13259.48,13294.32,-34.84,13224.64
6-Nov-12,2150,877,2529090,634456,13245.68,1273,129.12,113.29,15.83,1990.39,145,-172,1894634,32568,23735,8834,157840,41402,-135275,13258.10,13291.89,-33.79,13224.31
7-Nov-12,585,2493,396129,3873786,12932.73,-1908,-74.59,12.22,-86.81,1903.58,-161,1575,-3477657,-318454,-151335,-167119,-9279,-485573,2856809,13225.56,13273.93,-48.37,13177.20
8-Nov-12,820,2248,819383,2841123,12811.32,-1428,-209.93,-59.79,-150.14,1753.43,-360,2643,-2021740,-488783,-244855,-243927,-253206,-732710,4145839,13184.14,13250.80,-66.66,13117.48
9-Nov-12,1471,1569,1836324,1631911,12815.39,-98,-198.74,-61.70,-137.04,1616.39,-336,2405,204413,-419463,-222392,-197071,-450278,-616534,3324891,13147.26,13229.03,-81.77,13065.50
12-Nov-12,1417,1593,1095785,1369373,12815.08,-176,-196.46,-67.41,-129.05,1487.34,-326,2256,-273588,-404876,-224952,-179924,-630202,-584800,3013680,13114.05,13208.33,-94.29,13019.76
13-Nov-12,980,2072,1004940,2389186,12756.18,-1092,-286.02,-118.64,-167.38,1319.96,-453,2894,-1384246,-502813,-282916,-219896,-850098,-722709,3675217,13078.26,13185.72,-107.47,12970.79
14-Nov-12,314,2778,330187,3697063,12570.95,-2464,-503.82,-235.91,-267.91,1052.06,-772,4586,-3366876,-789219,-437114,-352105,-1202202,-1141324,5900769,13027.53,13154.99,-127.46,12900.07
